Git Repo	Before Hash	After Hash	Extracted From Method Name	Extracted To Method Name	FQ Class Name
			public getHTMLEditorKit() : HTMLEditorKit	public getHTMLEditorKit(noGapsBetweenParagraphs boolean) : HTMLEditorKit	com.intellij.util.ui.UIUtil
					
https://github.com/hibernate/hibernate-orm.git	d0b429dc3254fe9881d1001f9239428e26194bc7	2b89553db5081fe4e55b7b34d636d0ea2acf71c5			
			public AnnotationMetadataSourceProcessorImpl(sources MetadataSources, rootMetadataBuildingContext MetadataBuildingContextRootImpl, jandexView IndexView)	private categorizeAnnotatedClass(annotatedClass Class, attributeConverterManager AttributeConverterManager) : void	org.hibernate.boot.model.source.internal.annotations.AnnotationMetadataSourceProcessorImpl
					
https://github.com/elastic/elasticsearch.git	5f66f681358f6376eb000eaecae72bc34de45ddf	ff9041dc486adf0a8dec41f80bbfbdd49f97016a			
			protected doXContent(builder XContentBuilder, params Params) : void	protected buildFQuery(builder XContentBuilder, params Params) : void	org.elasticsearch.index.query.QueryFilterBuilder
					
https://github.com/JetBrains/intellij-community.git	bdabf14d5d6cb693a0972e84fa1101ca83ce87d2	484038e916dc40bf87eca10c77889d79eca96c4d			
			public removeNode(nodePath TreePath) : void	public removeNodes(paths Collection&lt;TreePath&gt;) : void	com.intellij.compiler.options.AnnotationProcessorsPanel.MyTreeModel
					
https://github.com/JetBrains/intellij-community.git	84a4da0797bc600d49a4123c632abcec6109faba	219d6ddfd1db62c11efb57e0216436874e087834			
			public addAdditionalLog(presentableName String) : LoggingHandler	private addAdditionalLoggingHandler(loggingHandler LoggingHandlerBase) : void	com.intellij.remoteServer.impl.runtime.log.DeploymentLogManagerImpl
					
https://github.com/CyanogenMod/android_frameworks_base.git		96a2c3410f3c71d3ab20857036422f1d64c3a6d3			
			private cleanupProximity() : void	private cleanupProximityLocked() : void	com.android.server.power.PowerManagerService
					
https://github.com/checkstyle/checkstyle.git	096100222d830beeab6674c1d468b7cd9e942e70	5a9b7249e3d092a78ac8e7d48aeeb62bf1c44e20			
			private processIDENT(ast DetailAST) : void	private processField(ast DetailAST, parentType int) : void	com.puppycrawl.tools.checkstyle.checks.coding.RequireThisCheck
					
https://github.com/JetBrains/intellij-community.git	0ce2b45350676ac0a84c66c741b7ee1fa3d47e33	a97341973c3b683d62d1422e5404ed5c7ccf45f8			
			public bindToElement(element PsiElement) : PsiElement	private setNewName(newText String) : PsiElement	public handleElementRename(newElementName String) : PsiElement
					
https://github.com/datastax/java-driver.git	2d611618145fad333f4de58eae8f118498d3e252	3a0603f8f778be3219a5a0f3a7845cda65f1e172			
			public values(names String[], values Object[]) : Insert	public values(names List&lt;String&gt;, values List&lt;Object&gt;) : Insert	com.datastax.driver.core.querybuilder.Insert
					
https://github.com/JetBrains/intellij-community.git	1b80086594213412b4155932f28ee61157337774	d71154ed21e2d5c65bb0ddb000bcb04ca5735048			
			protected canonicalizeUrl(url String, baseUrl Url, trimFileScheme boolean, sourceIndex int, baseUrlIsFile boolean) : Url	public canonicalizePath(url String, baseUrl Url, baseUrlIsFile boolean) : String	org.jetbrains.debugger.sourcemap.SourceResolver
					
https://github.com/Netflix/eureka.git	756bcd9fd308647c7b388543da9a3a6e034ee3f5	f6212a7e474f812f31ddbce6d4f7a7a0d498b751			
			private updateInstanceRemoteStatus() : void	protected onRemoteStatusChanged(oldStatus InstanceStatus, newStatus InstanceStatus) : void	com.netflix.discovery.DiscoveryClient
					
https://github.com/orientechnologies/orientdb.git	469c0d4b663f758dbd824ee2c4ec06cf0e7c46ec	b40adc25008b6f608ee3eb3422c8884fff987337			
			public command(iCommand OCommandRequestText) : Object	protected readSynchResult(network OChannelBinaryAsynchClient, database ODatabaseDocument) : Object	com.orientechnologies.orient.client.remote.OStorageRemote
			private indexGet() : void	public serializeValue(listener OAbstractCommandResultListener, result Object) : void	protected command() : void
					
https://github.com/droolsjbpm/drools.git	8540848f984ce6dea3a073fd4b6a84ef829bd69c	1bf2875e9d73e2d1cd3b58200d5300485f890ff5			
			public AgendaGroupQueueImpl(name String, kBase InternalKnowledgeBase)	protected initPriorityQueue(kBase InternalKnowledgeBase) : BinaryHeapQueue	org.drools.core.common.AgendaGroupQueueImpl
			public addEntry(entry PropagationEntry) : void	private internalAddEntry(entry PropagationEntry) : void	org.drools.core.phreak.SynchronizedPropagationList
					
https://github.com/datastax/java-driver.git		d5134b15fe6545ec8ab5c2256006cd6fe19eac92			
			package getPreparedQuery(type QueryType, options Option[]) : PreparedStatement	package getPreparedQuery(type QueryType, columns Set&lt;ColumnMapper&lt;?&gt;&gt;, options Option[]) : PreparedStatement	com.datastax.driver.mapping.Mapper
					
https://github.com/VoltDB/voltdb.git	aeaaba8ae9a5988095381c701ba815a5a607a550	669e0722324965e3c99f29685517ac24d4ff2848			
			public getClient(timeout long, scheme ClientAuthHashScheme) : Client	public getClient(timeout long, scheme ClientAuthHashScheme, useAdmin boolean) : Client	org.voltdb.regressionsuites.RegressionSuite
			public testPausedMode() : void	private runPausedMode(isAdmin boolean) : void	org.voltdb.TestClientInterface
			public makeStoredProcAdHocPlannerWork(replySiteId long, sql String, userParams Object[], singlePartition boolean, context CatalogContext, completionHandler AsyncCompilerWorkCompletionHandler) : AdHocPlannerWork	public makeStoredProcAdHocPlannerWork(replySiteId long, sql String, userParams Object[], singlePartition boolean, context CatalogContext, completionHandler AsyncCompilerWorkCompletionHandler, isAdmin boolean) : AdHocPlannerWork	org.voltdb.compiler.AdHocPlannerWork
			public mockStatementBatch(replySiteId long, sql String, extractedValues Object[], paramTypes VoltType[], userParams Object[], partitionParamIndex int, catalogHash byte[]) : AdHocPlannedStmtBatch	public mockStatementBatch(replySiteId long, sql String, extractedValues Object[], paramTypes VoltType[], userParams Object[], partitionParamIndex int, catalogHash byte[], readOnly boolean, isAdmin boolean) : AdHocPlannedStmtBatch	org.voltdb.compiler.AdHocPlannedStmtBatch
			public getListenerAddress(hostId int) : String	private getListenerAddress(hostId int, useAdmin boolean) : String	org.voltdb.regressionsuites.LocalCluster
					
https://github.com/VoltDB/voltdb.git		e9efc045fbc6fa893c66a03b72b7eedb388cf96c			
			public setMpDRGateway(mpGateway PartitionDRGateway) : void	public setMpUniqueIdListener(listener DurableMpUniqueIdListener) : void	org.voltdb.iv2.SpScheduler
					
https://github.com/CyanogenMod/android_frameworks_base.git		658a918eebcbdeb4f920c2947ca8d0e79ad86d89			
			protected makeStatusBarView() : PhoneStatusBarView	private initTickerView() : void	com.android.systemui.statusbar.phone.PhoneStatusBar
					
https://github.com/spring-projects/spring-boot.git	818d3bd230c5ea22b72e1a2d5b4361b5918d101c	20d39f7af2165c67d5221f556f58820c992d2cc6			
			private flatten(properties Properties, input Map&lt;String,Object&gt;, path String) : void	private getFullKey(path String, key String) : String	org.springframework.boot.cloudfoundry.VcapApplicationListener
					
https://github.com/fabric8io/fabric8.git	05be0f003ec67357924b538d4b12f0c03e472d66	9e61a71540da58c3208fd2c7737f793c3f81e5ae			
			public execute() : void	public createGogsWebhook(kubernetes KubernetesClient, log Log, gogsUser String, gogsPwd String, repoName String, webhookUrl String, webhookSecret String) : boolean	io.fabric8.maven.CreateGogsWebhook
					
https://github.com/spring-projects/spring-boot.git	49039c33ea2be34b8de84d52642cbfb82fab886b	1cfc6f64f64353bc5530a8ce8cdacfc3eba3e7b2			
			public registerBeanDefinitions(importingClassMetadata AnnotationMetadata, registry BeanDefinitionRegistry) : void	private addEntityScanBeanPostProcessor(registry BeanDefinitionRegistry, packagesToScan Set&lt;String&gt;) : void	org.springframework.boot.orm.jpa.EntityScanRegistrar
					
https://github.com/Netflix/eureka.git		1cacbe2ad700275bc575234ff2b32ee0d6493817			
			protected onRemoteStatusChanged(oldStatus InstanceStatus, newStatus InstanceStatus) : void	protected fireEvent(event DiscoveryEvent) : void	com.netflix.discovery.DiscoveryClient
					
https://github.com/linkedin/rest.li.git	854608fdd9bf565409ca60febba49636d27afd14	bd0d3bf75d31a8b5db34b8b66dfb28e5e1f492de			
			protected generateRecord(templateClass JDefinedClass, recordSpec RecordTemplateSpec) : void	protected extendRecordBaseClass(templateClass JDefinedClass) : void	com.linkedin.pegasus.generator.JavaDataTemplateGenerator
			protected generateMap(mapClass JDefinedClass, mapSpec MapTemplateSpec) : void	protected extendWrappingMapBaseClass(valueJClass JClass, mapClass JDefinedClass) : void	com.linkedin.pegasus.generator.JavaDataTemplateGenerator
			protected generateUnion(unionClass JDefinedClass, unionSpec UnionTemplateSpec) : void	protected extendUnionBaseClass(unionClass JDefinedClass) : void	com.linkedin.pegasus.generator.JavaDataTemplateGenerator
			protected generateArray(arrayClass JDefinedClass, arrayDataTemplateSpec ArrayTemplateSpec) : void	protected extendWrappingArrayBaseClass(itemJClass JClass, arrayClass JDefinedClass) : void	com.linkedin.pegasus.generator.JavaDataTemplateGenerator
					
https://github.com/orientechnologies/orientdb.git		1089957b645bde069d3864563bbf1f7c7da8045c			
			private rewriteLinksInDocument(document ODocument) : void	protected rewriteLinksInDocument(document ODocument, rewrite OIndex&lt;OIdentifiable&gt;) : void	com.orientechnologies.orient.core.db.tool.ODatabaseImport
					
https://github.com/belaban/JGroups.git	4f591c64c159faf10610ff511aaa241d3155888d	f1533756133dec84ce8218202585ac85904da7c9			
			public authenticate(token AuthToken, msg Message) : boolean	public isInMembersList(sender IpAddress) : boolean	org.jgroups.auth.FixedMembershipToken
					
https://github.com/nutzam/nutz.git	233317d9a52ad4f706b36630a3989bc1c28a6db7	6599c748ef35d38085703cf3bd41b9b5b6af5f32			
			public from(dao Dao, obj Object, filter FieldFilter) : Cnd	public from(dao Dao, obj Object, filter FieldFilter, ignoreNull boolean, ignoreZero boolean, ignoreDate boolean, ignoreId boolean, ignoreName boolean, ignorePk boolean) : Cnd	org.nutz.dao.Cnd
					
https://github.com/infinispan/infinispan.git	56cae3eb1e8fa27cd9342d5ff12a3f7f9b6d6d8e	e3b0d87b3ca0fd27cec39937cb3dc3a05b0cfc4e			
			public perform(ctx InvocationContext) : Object	protected waitForCacheToStabilize(cache Cache&lt;Object,Object&gt;, cacheConfig Configuration) : void	org.infinispan.commands.CreateCacheCommand
					
https://github.com/crate/crate.git	2e061d52c32087f6443949f38c597a81cefceda3	c7b6a7aa878aabd6400d2df0490e1eb2b810c8f9			
			public plan(rootRelation AnalyzedRelation, plannerContext Context) : Plan	public plan(relation AnalyzedRelation, consumerContext ConsumerContext) : PlannedAnalyzedRelation	io.crate.planner.consumer.ConsumingPlanner
					
https://github.com/BuildCraft/BuildCraft.git	0687b542239c8954767ecfbe194d801dfbe0b502	6abc40ed4850d74ee6c155f5a28f8b34881a0284			
			public initialize() : void	private initTemplate() : void	public updateEntity() : void
					
https://github.com/apache/cassandra.git	80d46b8acc417978fd8c43862c3352a6381fbf2e	ec52e77ecde749e7c5a483b26cbd8041f2a5a33c			
			public submitBackground(cfs ColumnFamilyStore) : List&lt;Future&lt;?&gt;&gt;	public submitBackground(cfs ColumnFamilyStore, autoFill boolean) : List&lt;Future&lt;?&gt;&gt;	org.apache.cassandra.db.compaction.CompactionManager
					
https://github.com/robovm/robovm.git	4e9158870681d2e3eabbc1d5cbff71bd068c939d	bf5ee44b3b576e01ab09cae9f50300417b01dc07			
			public getLocalName() : String	public has(key NSString) : boolean	public getServiceUUIDs() : NSArray&lt;CBUUID&gt;
			public getServices() : NSArray&lt;CBMutableService&gt;	public has(key NSString) : boolean	org.robovm.apple.corebluetooth.CBPeripheralManagerRestoredState
			public getColorModel() : CGImagePropertyColorModel	public has(key CFString) : boolean	org.robovm.apple.imageio.CGImageProperties
					
https://github.com/GoClipse/goclipse.git	28728afdbec54d66eeed36f631cf71aaef6e5ec6	851ab757698304e9d8d4ae24ab75be619ddae31a			
			public inclusiveContains(otherOffset int) : boolean	public contains(otherOffset int) : boolean	melnorme.lang.tooling.ast.SourceRange
			public inclusiveContains(other SourceRange) : boolean	public contains(other SourceRange) : boolean	melnorme.lang.tooling.ast.SourceRange
					
https://github.com/VoltDB/voltdb.git		c9b2006381301c99b66c50c4b31f329caac06137			
			public open(forWrite boolean) : void	private open(forWrite boolean, truncate boolean) : void	org.voltdb.utils.PBDRegularSegment
			public open(forWrite boolean) : void	private open(forWrite boolean, truncate boolean) : void	org.voltdb.utils.PBDMMapSegment
					
https://github.com/facebook/buck.git	755b86bb1cb4db447a3358b03248a3b7ccae8aaa	f26d234e8d3458f34454583c22e3bd5f4b2a5da8			
			public adbCall(adbCallable AdbCallable) : boolean	public getDevices() : List&lt;IDevice&gt;	com.facebook.buck.android.AdbHelper
					
https://github.com/google/closure-compiler.git	4b5116a3e27077ed1d5a5f2e9220588a1b3b590a	ea96643364e91125f560e9508a5cbcdb776bde64			
			private parseFormalParameterList() : FormalParameterListTree	private parseFormalParameterList(inTypeExpression boolean) : FormalParameterListTree	com.google.javascript.jscomp.parsing.parser.Parser
					
https://github.com/bumptech/glide.git	e5f2fc25807dfcd41e1d65403820384e037b2d04	0d4b27952751de0caab01774048c3e0ec74824ce			
			private checkCurrentDimens() : void	package clearCallbacksAndListener() : void	com.bumptech.glide.request.target.ViewTarget.SizeDeterminer
					
https://github.com/eclipse/jetty.project.git	ecdcc2e7c0fa1d30b747c6efa765423e6447c88e	1f3be625e62f44d929c01f6574678eea05754474			
			public configureScanner() : void	public gatherScannables() : void	org.eclipse.jetty.maven.plugin.JettyRunMojo
					
https://github.com/brianfrankcooper/YCSB.git	dfd79c800c0606377de45f418e702c430cd1a144	0b024834549c53512ef18bce89f60ef9225d4819			
			public run() : void	private throttle(currTimeMillis long) : void	com.yahoo.ycsb.ClientThread
					
https://github.com/spring-projects/spring-boot.git	7e5b08e0cdd066640d9654f991a982c2cf9f57bb	b47634176fa48ad925f79886c6aaca225cb9af64			
			public findAll() : Iterable&lt;Metric&lt;?&gt;&gt;	private findAll(predicate Predicate&lt;String&gt;) : Iterable&lt;Metric&lt;?&gt;&gt;	public findAll(prefix String) : Iterable&lt;Metric&lt;?&gt;&gt;
					
https://github.com/spring-projects/spring-boot.git	8b9c38085afd4a32d0cd0c6bcf0b9a1998681cb2	cb98ee25ff52bf97faebe3f45cdef0ced9b4416e			
			public overrideDateFormat() : void	private load(config Class&lt;?&gt;, environment String[]) : void	org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests
					
https://github.com/CyanogenMod/android_frameworks_base.git		15fd4f9caea01e53725086e290d3b35ec4bd4cd9			
			public reset() : void	protected reset(animateTransition boolean) : void	com.android.keyguard.KeyguardAbsKeyInputView
					
https://github.com/Netflix/eureka.git		5103ace802b2819438318dd53b5b07512aae0d25			
			public fillUpRegistry(count int, instanceTemplate InstanceInfo) : void	public fillUpRegistryOfServer(serverIdx int, count int, instanceTemplate InstanceInfo) : void	com.netflix.eureka2.integration.EurekaDeploymentClients
					
https://github.com/AsyncHttpClient/async-http-client.git	8ee46adc83cdab73f402807adde5ac2cff05f94b	f01d8610b9ceebc1de59d42f569b8af3efbe0a0f			
			public calculateSignature(method String, uri Uri, oauthTimestamp long, nonce String, formParams List&lt;Param&gt;, queryParams List&lt;Param&gt;) : String	package signatureBaseString(method String, uri Uri, oauthTimestamp long, nonce String, formParams List&lt;Param&gt;, queryParams List&lt;Param&gt;) : StringBuilder	org.asynchttpclient.oauth.OAuthSignatureCalculator
					
https://github.com/rstudio/rstudio.git	b4c530c2536f96f220b1a8d052699012fcf21fc4	9a581e07cb6381d70f3fd9bb2055e810e2a682a9			
			public init(widget AceEditorWidget, position Position) : void	private getBoolean(key String) : boolean	org.rstudio.studio.client.workbench.views.source.editors.text.ChunkOptionsPopupPanel
			public init(widget AceEditorWidget, position Position) : void	private has(key String) : boolean	org.rstudio.studio.client.workbench.views.source.editors.text.ChunkOptionsPopupPanel
					
https://github.com/spring-projects/spring-integration.git	da54a1262d56350fd8e25a351e6af210505e38aa	247232bdde24b81814a82100743f77d881aaf06b			
			private handleFileMessage(sourceFile File, tempFile File, resultFile File) : File	private handleInputStreamMessage(sourceFileInputStream InputStream, originalFile File, tempFile File, resultFile File) : File	org.springframework.integration.file.FileWritingMessageHandler
					
https://github.com/open-keychain/open-keychain.git	f978aca8e587e4b9cd0574cac6f4bc7cc3d9fef9	c11fef6e7c80681ce69e5fdc7f4796b0b7a18e2b			
			private handleActions(savedInstanceState Bundle, intent Intent) : void	public displayInputFragment(showOpenDialog boolean) : void	org.sufficientlysecure.keychain.ui.DecryptFilesActivity
			protected cryptoOperation(cryptoInput CryptoInputParcel) : void	protected cryptoOperation(cryptoInput CryptoInputParcel, showProgress boolean) : void	org.sufficientlysecure.keychain.ui.base.CryptoOperationFragment
					
https://github.com/apache/pig.git		7a1659c12d76b510809dea1dea1f5100bcf4cd60			
			public launchPig(physicalPlan PhysicalPlan, grpName String, pigContext PigContext) : PigStats	private initialize() : void	org.apache.pig.backend.hadoop.executionengine.spark.SparkLauncher
					
https://github.com/infinispan/infinispan.git	c1bb69785d507241688b225f434d838590f9ba0c	ce4f6292d6350a2c6b82d995352fdf6d07042c9c			
			public visitCommitCommand(ctx TxInvocationContext, command CommitCommand) : Object	private replayRemoteTransactionIfNeeded(ctx RemoteTxInvocationContext, topologyId int) : void	org.infinispan.interceptors.TxInterceptor
			public commit() : void	public throwRollbackExceptionIfAny() : void	org.infinispan.transaction.tm.DummyTransaction
			protected assertNoTransactions() : void	protected assertNoTransactions(cacheName String) : void	org.infinispan.test.MultipleCacheManagersTest
			protected eventually(ec Condition, timeout long, pollInterval long, unit TimeUnit) : void	protected eventually(message String, ec Condition, timeout long, pollInterval long, unit TimeUnit) : void	org.infinispan.test.AbstractInfinispanTest
			protected eventually(ec Condition, timeoutMillis long, loops int) : void	protected eventually(message String, ec Condition, timeoutMillis long, loops int) : void	org.infinispan.test.AbstractInfinispanTest
			private invokeNextInterceptorAndVerifyTransaction(ctx TxInvocationContext, command AbstractTransactionBoundaryCommand) : Object	private verifyRemoteTransaction(ctx RemoteTxInvocationContext, command AbstractTransactionBoundaryCommand) : void	org.infinispan.interceptors.TxInterceptor
			public visitRollbackCommand(ctx TxInvocationContext, command RollbackCommand) : Object	private createRollbackRpcOptions() : RpcOptions	org.infinispan.interceptors.distribution.TxDistributionInterceptor
					
https://github.com/jfinal/jfinal.git	1f06ed84f88225fd3d5689f2db36ba311cc19ea9	881baed894540031bd55e402933bcad28b74ca88			
			protected validateLong(field String, min long, max long, errorKey String, errorMessage String) : void	private validateLongValue(value String, min long, max long, errorKey String, errorMessage String) : void	com.jfinal.validate.Validator
			protected validateInteger(field String, min int, max int, errorKey String, errorMessage String) : void	private validateIntegerValue(value String, min int, max int, errorKey String, errorMessage String) : void	com.jfinal.validate.Validator
			protected validateLong(field String, errorKey String, errorMessage String) : void	private validateLongValue(value String, errorKey String, errorMessage String) : void	com.jfinal.validate.Validator
					
https://github.com/SonarSource/sonarqube.git	d370049974502061b852e73f25700c0d3bf218e6	021bf45623b748e70f20d956e86d595191241786			
			public start() : void	package getPluginMetrics() : List&lt;Metric&gt;	org.sonar.server.startup.RegisterMetrics
					
https://github.com/wordpress-mobile/WordPress-Android.git		f8d5cf01f123a1d0a65857aa2db0571fe9cd1911			
			public getIconImageURL(size int) : String	private getIconImageURL(size int, iconUrl String, blogUrl String) : String	org.wordpress.android.models.Blog
					
https://github.com/neo4j/neo4j.git	a8e4ff0d2589ebe9372244d644efd371a3776192	b83e6a535cbca21d5ea764b0c49bfca8a9ff9db4			
			public lookup(value Object) : PrimitiveLongIterator	protected query(query Query) : PrimitiveLongIterator	public scan() : PrimitiveLongIterator
					
https://github.com/wordpress-mobile/WordPress-Android.git	566935d3a3c1ba1901f88a196c11eb39d00ed39c	ab298886b59f4ad0235cd6d5764854189eb59eb6			
			public openPostInReaderOrInAppWebview(ctx Context, post PostModel) : void	public openPostInReaderOrInAppWebview(ctx Context, remoteBlogID String, remoteItemID String, itemType String, itemURL String) : void	org.wordpress.android.ui.stats.StatsUtils
					
https://github.com/jberkel/sms-backup-plus.git	59ee505b7fd5a5b17b823fa22bbb7da4e5248aa3	c265bde2ace252bc1e1c65c6af93520e5994edd2			
			public toString() : String	public getTokenForLogging() : String	com.zegoggles.smssync.auth.OAuth2Token
					
https://github.com/amplab/tachyon.git		ed966510ccf8441115614e2258aea61df0ea55f5			
			public addBlockMeta(block BlockMeta) : Optional&lt;BlockMeta&gt;	private reserveSpace(size long) : void	tachyon.worker.block.meta.StorageDir
					
https://github.com/k9mail/k-9.git		23c49d834d3859fc76a604da32d1789d2e863303			
			private notifyAccountWithDataLocked(context Context, account Account, message LocalMessage, data NotificationData) : void	private setNotificationContent(context Context, message Message, sender CharSequence, subject CharSequence, builder Builder, accountDescr String) : Builder	com.fsck.k9.controller.MessagingController
			private notifyAccountWithDataLocked(context Context, account Account, message LocalMessage, data NotificationData) : void	private buildNotificationNavigationStack(context Context, account Account, message LocalMessage, newMessages int, unreadCount int, allRefs ArrayList&lt;MessageReference&gt;) : TaskStackBuilder	com.fsck.k9.controller.MessagingController
					
https://github.com/antlr/antlr4.git	e0c6210d2287f5856c641205428391497ab498c9	a9ca2efae56815dc464189b055ffe9da23766f7f			
			public descendants(t ParseTree) : List&lt;ParseTree&gt;	public getDescendants(t ParseTree) : List&lt;ParseTree&gt;	org.antlr.v4.runtime.tree.Trees
			public getAllPossibleParseTrees(g Grammar, originalParser Parser, tokens TokenStream, decision int, alts BitSet, startIndex int, stopIndex int, startRuleIndex int) : List&lt;ParserRuleContext&gt;	public getAmbuityParserInterpreter(g Grammar, originalParser Parser, tokens TokenStream) : ParserInterpreter	org.antlr.v4.tool.GrammarParserInterpreter
					
https://github.com/spring-projects/spring-framework.git	1e39a188190f73be6715a43c34a5530d67df7052	ece12f9d370108549fffac105e4bcb7faeaaf124			
			public synthesizeAnnotationFromMapWithMissingAttributeValue() : void	private assertMissingTextAttribute(attributes Map&lt;String,Object&gt;) : void	public synthesizeAnnotationFromMapWithNullAttributeValue() : void
					
https://github.com/infinispan/infinispan.git		03573a655bcbb77f7a76d8e22d851cc22796b4f8			
			protected shouldInvoke(event CacheEntryEvent&lt;K,V&gt;, isLocalNodePrimaryOwner boolean) : CacheEntryEvent&lt;K,V&gt;	protected shouldInvoke(event Event&lt;K,V&gt;) : boolean	org.infinispan.notifications.cachelistener.CacheNotifierImpl.BaseCacheEntryListenerInvocation
					
https://github.com/wordpress-mobile/WordPress-Android.git	c8cf005b3abfdb8f66046c611e76febe4379fcce	4bfe164cc8b4556b98df18098b162e0a84038b32			
			protected onResume() : void	private trackLastVisibleTab(position int) : void	org.wordpress.android.ui.main.WPMainActivity
					
